,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time
47,1135,372754427,BBCHindi,2011-09-13 10:54:32,157,1122950,209.0,India/London,0.1,1.0333333333333334,0.03333333333333333,58.8,237.66666666666663,101591,0,2019-04-23 14:45:45
48,1165,1056850669,airnewsalerts,2013-01-03 04:15:45,114,2050934,15.0,"New Delhi, India",2.7333333333333334,1.3333333333333333,0.3333333333333333,16.7,62.6,227527,0,2019-04-23 14:45:45
49,1195,98362607,News18India,2009-12-21 12:11:21,47,1035828,89.0,India,2.033333333333333,2.0,1.5666666666666669,20.733333333333334,100.53333333333332,285841,0,2019-04-23 14:45:45
50,1225,39240673,abpnewstv,2009-05-11 12:25:51,40,8254265,165.0,India,2.333333333333333,1.9333333333333331,0.6,20.3,99.3,194592,0,2019-04-23 14:45:45
51,1255,37034483,ndtv,2009-05-01 20:34:48,31,11375975,14.0,India,0.6333333333333333,1.0333333333333334,0.5,5.4,19.466666666666665,596778,0,2019-04-23 14:45:45
52,1275,37034483,ndtv,2009-05-01 20:34:48,31,11375976,14.0,India,0.6333333333333333,1.0333333333333334,0.5,5.4,19.466666666666665,596778,0,2019-04-23 14:45:45
53,1285,461841349,ZeeNewsHindi,2012-01-12 07:52:31,110,1868916,22.0,India,2.033333333333333,2.9,1.5,244.96666666666667,992.1666666666665,181026,0,2019-04-23 14:45:45
54,1315,177829660,THexplains,2010-08-13 04:41:46,74,592737,45.0,0,0.6333333333333333,0.9666666666666668,0.13333333333333333,19.966666666666665,71.2,141753,0,2019-04-23 14:45:45
55,1345,29958928,TOIIndiaNews,2009-04-09 10:36:52,113,998792,22.0,"New Delhi, India",0.0,1.0,0.0,0.9333333333333332,4.433333333333334,212603,0,2019-04-23 14:45:45
56,1375,123171317,NavbharatTimes,2010-03-15 06:49:43,103,758467,479.0,"Delhi, India",0.6666666666666666,2.8,1.6,8.6,39.56666666666667,250352,0,2019-04-23 14:45:45
57,1405,2251588934,TheOfficialSBI,2013-12-18 07:27:24,158,3752949,20.0,0,0.0,0.8666666666666667,1.1,0.0,0.03333333333333333,347842,0,2019-04-23 14:45:45
58,1435,321271735,ndtvindia,2011-06-21 09:01:12,81,604495,35.0,New Delhi,0.2,2.0,0.06666666666666668,63.4,245.8,116035,0,2019-04-23 14:45:45
59,1465,1966507722,DDNewsHindi,2013-10-17 10:22:17,121,615255,68.0,नई दिल्ली/भारत,0.4,0.9333333333333332,0.1,96.2,115.43333333333334,91163,0,2019-04-23 14:45:45
60,1495,1734536606,News18_UK,2013-09-06 09:04:36,48,8764,42.0,"Dehradun, India",1.1,1.0,0.5333333333333333,0.03333333333333333,0.6333333333333333,70674,0,2019-04-23 14:45:45
61,1525,1033673017241546754,Dilipdubey03,2018-08-26 11:10:26,0,28,147.0,0,1.0666666666666669,0.26666666666666666,2.033333333333333,50.96666666666667,0.06666666666666668,63,0,2019-04-23 14:45:45
62,1555,4743832831,upcopsachin,2016-01-11 15:17:37,157,4081,391.0,"Agra, India",0.4,0.4,2.3,89.16666666666669,11.566666666666665,3926,0,2019-04-23 14:45:45
63,1585,1331404556,AnjanaPed,2013-04-06 11:48:40,45,1108,796.0,0,0.2333333333333333,0.4,2.0,1162.0,1.4333333333333331,11218,0,2019-04-23 14:45:45
64,1615,1712709144,SkochSameer,2013-08-30 13:19:49,160,126294,1723.0,India,0.8333333333333334,2.5,10.166666666666666,2545.233333333333,16.666666666666668,7697,0,2019-04-23 14:45:45
65,1645,722923402260951043,mobobistudios,2016-04-20 23:02:25,0,6679,3.0,0,0.16666666666666666,0.5333333333333333,1.0,1.4666666666666666,5.266666666666667,55,0,2019-04-23 14:45:45
66,1665,722923402260951043,mobobistudios,2016-04-20 23:02:25,0,6678,3.0,0,0.16666666666666666,0.5333333333333333,1.0,1.4666666666666666,5.266666666666667,55,0,2019-04-23 14:45:45
67,1675,3108258452,TAHLKANEWS,2015-03-26 12:06:19,129,2188,514.0,लखनऊ,0.0,1.0,0.0,0.0,0.0,96643,0,2019-04-23 14:45:45
68,1705,2318958582,rakeshbjpup,2014-01-30 14:05:16,82,3505,598.0,"Lucknow, India",0.2333333333333333,0.5,1.6,150.03333333333333,80.33333333333333,5650,0,2019-04-23 14:45:45
69,1735,970591741131804672,CyberDost,2018-03-05 09:27:58,156,54217,76.0,India,9.6,6.4,4.8,704.2666666666668,2009.0666666666666,432,0,2019-04-23 14:45:45
