,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time
37,1078,987048591968620545,Gorgioussdf,2018-04-19 19:21:37,72,545,73,youtube :,0.0,0.5666666666666667,0.7333333333333333,298.53333333333336,0.6666666666666666,5384,0.0,2019-04-23 01:25:12
38,1108,241346916,Rich65k,2011-01-22 01:45:26,35,358,632,Oklahoma,0.9333333333333332,1.3333333333333333,0.5,1.2333333333333334,6.9,524,0.0,2019-04-23 01:25:12
39,1138,898013484876804097,braykxo,2017-08-17 02:47:53,35,50,130,"Knoxville, TN",0.0,0.2333333333333333,1.0,45097.76666666667,0.0,1520,0.0,2019-04-23 01:25:12
40,1168,1005830645975691265,kayansub,2018-06-10 15:14:48,24,34,141,0,2.2,1.0,1.3333333333333333,197.86666666666667,0.0,2199,0.0,2019-04-23 01:25:12
41,1198,2405066607,Brianketer5,2014-03-12 15:16:32,25,388,491,Kenya,0.03333333333333333,0.7,0.4666666666666667,46.6,0.1,812,0.0,2019-04-23 01:25:12
42,1228,1097059909231878145,blease_no,2019-02-17 09:07:19,136,4,51,0,0.26666666666666666,0.7333333333333333,1.0333333333333334,3623.5333333333333,0.0,1668,0.0,2019-04-23 01:25:12
43,0,1119864633110794240,Murat41222943,2019-04-21 07:25:09,139,17,761,İstanbul Beylikdüzü ,0.0,0.9666666666666668,0.8666666666666667,0.0,0.4666666666666667,207,1.0,2019-04-23 01:25:12
44,30,1099556638401486849,Ar1_sa3,2019-02-24 06:28:26,7,96,111,0,0.4666666666666667,0.5333333333333333,0.0,0.0,1.2,139,1.0,2019-04-23 01:25:12
45,60,978987895301263360,Stew45641594,2018-03-28 13:31:17,0,61,671,"Miami, FL/jamaica ",1.1,0.8333333333333334,1.1333333333333333,196.9333333333333,0.0,1090,1.0,2019-04-23 01:25:12
46,90,1066182466669547520,fakesmilesonly,2018-11-24 04:11:23,47,15612,5799,0,0.0,0.3333333333333333,0.3,2376.2,7666.333333333332,205,1.0,2019-04-23 01:25:12
47,120,1049690686465949696,BhonestTo,2018-10-09 15:58:56,160,2380,3719,Canton Ohio,0.4,0.5333333333333333,1.2666666666666666,985.4333333333333,0.0,5485,1.0,2019-04-23 01:25:12
48,150,980500880,Ahmedsayedzz,2012-11-30 13:48:54,35,915,2834,"Cairo, Egypt",0.1,0.8666666666666667,1.0,16810.866666666665,0.03333333333333333,11375,1.0,2019-04-23 01:25:12
49,180,731528022076104706,Bezean56,2016-05-14 16:54:06,160,487,902,"Newcastle Upon Tyne, England",0.0,0.16666666666666666,2.2666666666666666,682.4,0.16666666666666666,4677,1.0,2019-04-23 01:25:12
50,210,2215677526,jamieisthegirl,2013-12-09 12:25:25,34,143,226,0,0.0,0.6,0.9333333333333332,20129.933333333334,0.0,11312,1.0,2019-04-23 01:25:12
51,240,969769260619849729,Al_2705,2018-03-03 02:59:43,0,208,20,0,0.0,2.0,0.0,0.0,0.0,10663,1.0,2019-04-23 01:25:12
52,270,128137409,_dedeew,2010-03-31 06:01:54,73,405,103,Indonesia,0.06666666666666668,0.5,0.9,2268.6,0.0,74552,1.0,2019-04-23 01:25:12
53,300,3299703555,LALIftThe100,2015-05-26 21:04:43,30,607,571,Italia,0.26666666666666666,0.3333333333333333,0.9333333333333332,2003.8,0.13333333333333333,42394,1.0,2019-04-23 01:25:12
54,330,926270599206449153,KingDeagleIV,2017-11-03 02:11:34,130,505,1014,"New York, USA",0.0,0.5333333333333333,0.9666666666666668,4100.233333333334,0.16666666666666666,27987,1.0,2019-04-23 01:25:12
55,360,1055696622,Giovannini8,2013-01-02 17:56:31,0,1755,2130,0,0.8333333333333334,1.7666666666666666,3.6,138.73333333333332,0.0,150696,1.0,2019-04-23 01:25:12
56,390,15944583,wheelofchange,2008-08-22 13:22:08,94,2450,5001,BUROKLOTARIJE,0.06666666666666668,0.8,0.36666666666666653,84.73333333333333,0.1,82106,1.0,2019-04-23 01:25:12
57,420,976506198051770369,MsMarjorie8,2018-03-21 17:09:54,106,551,2177,In the Blue Wave,0.13333333333333333,0.2,1.2333333333333334,2206.1666666666665,1.9,12113,1.0,2019-04-23 01:25:12
58,450,411633238,DeusExMachina92,2011-11-13 17:37:18,48,119,1305,"Branson, MO",0.3,0.7,1.1,23010.8,0.16666666666666666,1647,1.0,2019-04-23 01:25:12
59,480,387530815,olgadiva11,2011-10-09 06:56:59,90,1338,1038,pretoria,0.0,0.13333333333333333,1.9333333333333331,141.5,0.6,15518,1.0,2019-04-23 01:25:12
60,510,1615959103,tchilitchyX,2013-07-23 19:23:31,75,84,758,Dakar,0.03333333333333333,0.3333333333333333,0.6,1054.8666666666666,0.26666666666666666,5554,1.0,2019-04-23 01:25:12
61,540,1705648328,GroadmiralThraw,2013-08-27 21:23:00,160,455,633,0,0.03333333333333333,0.6,1.4333333333333331,5417.9,1.8666666666666667,45093,1.0,2019-04-23 01:25:12
62,570,24609059,PeaceAndLove902,2009-03-15 23:37:11,86,346,280,"Wisconsin, USA",0.0,0.36666666666666653,0.9333333333333332,10612.333333333334,0.0,28061,1.0,2019-04-23 01:25:12
63,600,1052002764073644032,TempehJxker,2018-10-16 01:06:18,42,379,206,0,0.16666666666666666,0.6,1.0,5532.7,0.03333333333333333,11852,1.0,2019-04-23 01:25:12
64,630,4275982164,Koqueto2Koqueto,2015-11-18 06:45:17,0,222,3839,"Tuxtla Gtz, Chis",0.26666666666666666,0.6666666666666666,1.0,701.3666666666667,0.06666666666666668,480,1.0,2019-04-23 01:25:12
65,660,526338331,Cler1488,2012-03-16 12:21:10,2,34,17,Msk,0.0,1.0,0.0,0.0,0.03333333333333333,2974,1.0,2019-04-23 01:25:12
66,690,938064737228685313,Fedetelechea,2017-12-05 15:17:16,35,88,87,"Miami, FL",0.0,0.3,0.8666666666666667,5075.133333333333,0.4666666666666667,4744,1.0,2019-04-23 01:25:12
67,720,429591499,_Caldwe11JrJr,2011-12-06 04:36:06,143,1102,720,At The Crib ,0.03333333333333333,0.5333333333333333,0.7666666666666667,4014.9666666666662,0.6666666666666666,41572,1.0,2019-04-23 01:25:12
68,750,1103293122535055360,MarcoKelvin2,2019-03-06 13:55:53,146,202,2945,"Narayanganj, Bangladesh",0.0,0.13333333333333333,1.1,0.0,0.0,898,1.0,2019-04-23 01:25:12
69,780,932297136649187328,Candice_Arlyne,2017-11-19 17:18:53,0,67,85,"Missouri, USA",0.03333333333333333,0.2,1.0,56.06666666666667,0.13333333333333333,1955,1.0,2019-04-23 01:25:12
70,810,756368198,69sexxxo,2012-08-14 03:22:02,0,200854,61,Adult only 🔞 ♨️CamPromo♨️,0.2333333333333333,0.9,2.0,56.9,0.0,226312,1.0,2019-04-23 01:25:12
71,840,1098727923031232512,tiantianrascalx,2019-02-21 23:35:25,138,115,141,#dontrascalme,0.3,0.43333333333333335,0.9333333333333332,1570.466666666667,0.0,998,1.0,2019-04-23 01:25:12
72,870,978639658513870854,ba_meiji,2018-03-27 14:27:31,0,25,72,0,0.03333333333333333,0.2333333333333333,0.4,1789.3,0.7,16,1.0,2019-04-23 01:25:12
73,886,997846240325873664,owiAdvBJWSB1s6n,2018-05-19 14:27:37,85,101,706,幻想郷  紅魔館 ,0.7,0.36666666666666653,0.8,151.76666666666668,0.43333333333333335,884,1.0,2019-04-23 01:25:12
74,916,777436687215366145,fly_gle2,2016-09-18 09:18:45,25,36,151,따뜻한 이불속,0.1,0.3333333333333333,0.36666666666666653,109.86666666666666,0.03333333333333333,673,1.0,2019-04-23 01:25:12
75,946,1020595512355909632,enOsZwJY5MuqBMM,2018-07-21 09:05:06,18,539,933,大分佐伯市,0.5,0.3,0.8,7763.9333333333325,0.5333333333333333,114,1.0,2019-04-23 01:25:12
76,976,741884987729797120,De900910,2016-06-12 06:48:59,31,34,305,0,0.7333333333333333,1.0,0.5666666666666667,1247.2333333333333,0.03333333333333333,71,1.0,2019-04-23 01:25:12
77,1006,3158920291,Nirmala21N,2015-04-16 06:37:46,73,29,83,0,1.4,0.4,0.8666666666666667,90.5,0.0,47,1.0,2019-04-23 01:25:12
78,1036,45891442,j3sSmArTz,2009-06-09 17:38:27,22,85,830,mexico,0.4666666666666667,0.36666666666666653,1.0,2489.266666666667,0.3333333333333333,454,1.0,2019-04-23 01:25:12
79,1066,284115556,OkuraiAni,2011-04-18 17:11:47,130,47,760,北独、ドイツ,0.3333333333333333,0.43333333333333335,0.9333333333333332,5558.233333333334,0.3,625,1.0,2019-04-23 01:25:12
