,Unnamed: 0,Unnamed: 0.1,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
31,31,816,1008642243819761664,Sai72100878,2018-06-18 09:27:05,0,217,29.0,"Chennai, India",0.1,0.06666666666666668,0.03333333333333333,0.06666666666666668,0.13333333333333333,3,0,2019-04-23 14:45:45,30.0,309.2212962962963,0.009701789740656786,0.01,10.662803320561942
32,32,819,1007158886938206208,AdmkArun,2018-06-14 07:12:45,8,302,145.0,"Tiruppur, India",0.9,0.6333333333333333,1.2666666666666666,0.5333333333333333,7.633333333333334,28,0,2019-04-23 14:45:45,146.0,313.31458333333336,0.08936704988995352,0.09,2.1607902298850576
33,33,847,1009255522602631168,SelvaMugavai,2018-06-20 02:04:02,0,176,55.0,0,0.0,0.2,0.3,0.1,1.2333333333333334,6,0,2019-04-23 14:45:45,56.0,307.52896990740743,0.01951035703012472,0.03,5.591435816498317
34,34,853,1008882456575934464,Veerasa23144200,2018-06-19 01:21:36,104,140,142.0,"Padmanabhapuram, Tamil Nadu",0.03333333333333333,0.2333333333333333,0.1,1.1333333333333333,0.1,10,0,2019-04-23 14:45:45,143.0,308.5584375,0.03240877183920793,0.07,2.1729467429577465
35,35,863,1008655587528171521,SelvamAdmk,2018-06-18 10:20:06,0,125,11.0,"Coimbatore, India",0.03333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,1,0,2019-04-23 14:45:45,12.0,309.1844791666667,0.003234315004088376,0.01,28.107679924242426
36,36,864,1009050067985002496,VHh0ryw5wTWZQgV,2018-06-19 12:27:38,9,411,142.0,"Tamil Nadu, India",0.3,0.26666666666666666,0.3333333333333333,0.7666666666666667,2.333333333333333,12,0,2019-04-23 14:45:45,143.0,308.09591435185183,0.03894890987192954,0.03,2.1696895376890972
37,37,876,1008635639741362176,Jaganat39464129,2018-06-18 09:00:50,0,245,44.0,"Tirupathur, India",0.03333333333333333,0.1,1.1333333333333333,0.13333333333333333,0.3666666666666665,12,0,2019-04-23 14:45:45,45.0,309.23952546296294,0.038804871343774,0.05,7.028171033249158
38,38,888,791579675038449664,maalaitamizhaga,2016-10-27 09:57:56,21,1147,4915.0,"Chennai, India",0.0,1.0,0.0,0.1,0.8666666666666667,2603,0,2019-04-23 14:45:45,4916.0,908.1998726851851,2.8661091883926013,2.27,0.18478125588711802
39,39,918,1008585159858270208,vijayadmk3,2018-06-18 05:40:15,19,432,220.0,"Salem, IN",0.9333333333333332,0.8,1.1,6.0,0.0,130,0,2019-04-23 14:45:45,221.0,309.37881944444445,0.42019683258680307,0.3,1.4062673611111112
40,40,948,736106427064799232,chandanmedia,2016-05-27 08:07:03,139,1455,364.0,"नई दिल्ली, भारत",0.9666666666666668,0.7666666666666667,0.9666666666666668,195.46666666666667,5.366666666666666,3883,0,2019-04-23 14:45:45,365.0,1061.276875,3.6588001599488353,2.67,2.9155958104395605
41,41,978,736906416414298112,SspGhaziabad,2016-05-29 13:05:55,0,53971,112.0,"गाज़ियाबाद, भारत",2.6,0.2,5.3,220.0,0.0,1953,0,2019-04-23 14:45:45,113.0,1059.0693287037036,1.8440719101840706,0.04,9.455976149140211
42,42,1008,897344801728643072,shivpal_rana,2017-08-15 06:30:47,36,24,49.0,0,0.03333333333333333,0.2333333333333333,0.13333333333333333,0.03333333333333333,0.0,7,0,2019-04-23 14:45:45,50.0,616.3437268518519,0.011357299011956298,0.29,12.578443405139835
43,43,1015,775341808968691712,policemedianews,2016-09-12 14:34:27,98,4713,528.0,"नई दिल्ली, भारत",1.2,0.9666666666666668,0.6,0.3333333333333333,1.0333333333333334,19148,0,2019-04-23 14:45:45,529.0,953.0078472222223,20.092174535405555,4.06,1.8049391045875423
44,44,1045,4848168385,uppstf,2016-02-02 06:58:01,0,11090,63.0,"Lucknow, Uttar Pradesh",0.8333333333333334,0.6666666666666666,1.0666666666666669,220.16666666666663,131.43333333333334,315,0,2019-04-23 14:45:45,64.0,1176.3248148148148,0.26778318031962073,0.03,18.671822457378013
45,45,1075,34245009,indiatvnews,2009-04-22 11:26:34,131,675330,28.0,India,2.1,1.8333333333333333,0.3333333333333333,10.866666666666667,32.3,426475,0,2019-04-23 14:45:45,29.0,3653.1383217592593,116.74208924961276,0.63,130.4692257771164
46,46,1105,39743812,EconomicTimes,2009-05-13 12:54:58,120,3201871,44.0,0,1.7,0.8333333333333334,0.6,2.933333333333333,4.533333333333333,386241,0,2019-04-23 14:45:45,45.0,3632.0769328703705,106.34163514118082,0.12,82.54720301978115
47,47,1135,372754427,BBCHindi,2011-09-13 10:54:32,157,1122950,209.0,India/London,0.1,1.0333333333333334,0.03333333333333333,58.8,237.66666666666663,101591,0,2019-04-23 14:45:45,210.0,2779.1605671296297,36.55456298623477,0.09,13.297418981481481
48,48,1165,1056850669,airnewsalerts,2013-01-03 04:15:45,114,2050934,15.0,"New Delhi, India",2.7333333333333334,1.3333333333333333,0.3333333333333333,16.7,62.6,227527,0,2019-04-23 14:45:45,16.0,2301.4375,98.86299323792196,0.11,153.42916666666667
49,49,1195,98362607,News18India,2009-12-21 12:11:21,47,1035828,89.0,India,2.033333333333333,2.0,1.5666666666666669,20.733333333333334,100.53333333333332,285841,0,2019-04-23 14:45:45,90.0,3410.1072222222224,83.82170453095887,0.28,38.315811485642946
50,50,1225,39240673,abpnewstv,2009-05-11 12:25:51,40,8254265,165.0,India,2.333333333333333,1.933333333333333,0.6,20.3,99.3,194592,0,2019-04-23 14:45:45,166.0,3634.097152777778,53.546174419487,0.02,22.02483122895623
51,51,1255,37034483,ndtv,2009-05-01 20:34:48,31,11375975,14.0,India,0.6333333333333333,1.0333333333333334,0.5,5.4,19.466666666666665,596778,0,2019-04-23 14:45:45,15.0,3643.7576041666666,163.78092750120905,0.05,260.26840029761905
52,52,1275,37034483,ndtv,2009-05-01 20:34:48,31,11375976,14.0,India,0.6333333333333333,1.0333333333333334,0.5,5.4,19.466666666666665,596778,0,2019-04-23 14:45:45,15.0,3643.7576041666666,163.78092750120905,0.05,260.26840029761905
53,53,1285,461841349,ZeeNewsHindi,2012-01-12 07:52:31,110,1868916,22.0,India,2.033333333333333,2.9,1.5,244.96666666666667,992.1666666666664,181026,0,2019-04-23 14:45:45,23.0,2658.2869675925926,68.09874261391028,0.1,120.8312257996633
54,54,1315,177829660,THexplains,2010-08-13 04:41:46,74,592737,45.0,0,0.6333333333333333,0.9666666666666668,0.13333333333333333,19.966666666666665,71.2,141753,0,2019-04-23 14:45:45,46.0,3175.41943287037,44.64071691841497,0.24,70.56487628600823
55,55,1345,29958928,TOIIndiaNews,2009-04-09 10:36:52,113,998792,22.0,"New Delhi, India",0.0,1.0,0.0,0.9333333333333332,4.433333333333334,212603,0,2019-04-23 14:45:45,23.0,3666.172835648148,57.990446585809586,0.21,166.64421980218856
56,56,1375,123171317,NavbharatTimes,2010-03-15 06:49:43,103,758467,479.0,"Delhi, India",0.6666666666666666,2.8,1.6,8.6,39.56666666666667,250352,0,2019-04-23 14:45:45,480.0,3326.330578703704,75.2637160007001,0.33,6.9443227112812185
57,57,1405,2251588934,TheOfficialSBI,2013-12-18 07:27:24,158,3752949,20.0,0,0.0,0.8666666666666667,1.1,0.0,0.03333333333333333,347842,0,2019-04-23 14:45:45,21.0,1952.3044097222223,178.1699607232315,0.09,97.61522048611111
58,58,1435,321271735,ndtvindia,2011-06-21 09:01:12,81,604495,35.0,New Delhi,0.2,2.0,0.06666666666666668,63.4,245.8,116035,0,2019-04-23 14:45:45,36.0,2863.239270833333,40.52577833155681,0.19,81.8068363095238
59,59,1465,1966507722,DDNewsHindi,2013-10-17 10:22:17,121,615255,68.0,नई दिल्ली/भारत,0.4,0.9333333333333332,0.1,96.2,115.43333333333334,91163,0,2019-04-23 14:45:45,69.0,2014.182962962963,45.26053574889478,0.15,29.62033769063181
60,60,1495,1734536606,News18_UK,2013-09-06 09:04:36,48,8764,42.0,"Dehradun, India",1.1,1.0,0.5333333333333333,0.03333333333333333,0.6333333333333333,70674,0,2019-04-23 14:45:45,43.0,2055.236909722222,34.38727655467808,8.06,48.93421213624339
61,61,1525,1033673017241546754,Dilipdubey03,2018-08-26 11:10:26,0,28,147.0,0,1.0666666666666669,0.26666666666666666,2.033333333333333,50.96666666666667,0.06666666666666668,63,0,2019-04-23 14:45:45,148.0,240.14952546296297,0.2623365583527508,2.25,1.633670241244646
62,62,1555,4743832831,upcopsachin,2016-01-11 15:17:37,157,4081,391.0,"Agra, India",0.4,0.4,2.3,89.16666666666669,11.566666666666665,3926,0,2019-04-23 14:45:45,392.0,1197.9778703703703,3.2771890842910367,0.96,3.0638820214075966
63,63,1585,1331404556,AnjanaPed,2013-04-06 11:48:40,45,1108,796.0,0,0.2333333333333333,0.4,2.0,1162.0,1.4333333333333331,11218,0,2019-04-23 14:45:45,797.0,2208.122974537037,5.080332992935779,10.12,2.7740238373580866
